"OBJECTID","PATH","NAME"
571412,"/multimedia/sites/extfsa/northernirelandconsultationarchive","ExternalSite"
571799,"/multimedia/sites/extfsa/freportm01033","ExternalSite"
712229,"/multimedia/sites/712229","ExternalSite"
631272,"/multimedia/sites/archive-pc","ExternalSite"
109307,"/multimedia/sites/nationalconsumercouncil","ExternalSite"
692092,"/multimedia/sites/extfsa/freportm03063","ExternalSite"
620782,"/multimedia/sites/survey-natarch","ExternalSite"
176864,"/multimedia/sites/eudec_2004_92_EC","ExternalSite"
176977,"/multimedia/sites/defra_planthealthguide","ExternalSite"
177049,"/multimedia/sites/plantorder2005","ExternalSite"
718482,"/multimedia/sites/718482","ExternalSite"
634537,"/multimedia/sites/enf-archive","ExternalSite"
697649,"/multimedia/sites/smoke-list","ExternalSite"
130638,"/multimedia/sites/dtipolicy","ExternalSite"
718089,"/multimedia/sites/extfsa/freports02013","ExternalSite"
625247,"/multimedia/sites/extfsa/freportt07035","ExternalSite"
630864,"/multimedia/sites/cooktrading","ExternalSite"
698977,"/multimedia/sites/food-safety-regs-1991","ExternalSite"
698979,"/multimedia/sites/animal-byproducts-regs","ExternalSite"
698981,"/multimedia/sites/detention-food-regs","ExternalSite"
624910,"/multimedia/sites/extfsa/freportt07033","ExternalSite"
700461,"/multimedia/sites/700461","ExternalSite"
633194,"/multimedia/sites/extfsa/freporta03034","ExternalSite"
635246,"/multimedia/sites/extfsa/additives-archive","ExternalSite"
719738,"/multimedia/sites/719738","ExternalSite"
125845,"/multimedia/sites/mhra","ExternalSite"
83018,"/multimedia/sites/83018","ExternalSite"
716009,"/multimedia/sites/jd-bus-supp-assis","ExternalSite"
109414,"/multimedia/sites/109414","ExternalSite"
74931,"/multimedia/sites/nutritional_strat_link","ExternalSite"
612202,"/multimedia/sites/612202","ExternalSite"
124813,"/multimedia/sites/vpc","ExternalSite"
179123,"/multimedia/sites/179123","ExternalSite"
179141,"/multimedia/sites/179141","ExternalSite"
179171,"/multimedia/sites/179171","ExternalSite"
701344,"/multimedia/sites/job-localauthority-support","ExternalSite"
704987,"/multimedia/sites/archifaucenedlaethol","ExternalSite"
709893,"/multimedia/sites/rheolaethau-swyddogol","ExternalSite"
691717,"/multimedia/sites/extfsa/freportfs231037","ExternalSite"
284633,"/multimedia/sites/284633","ExternalSite"
284650,"/multimedia/sites/284650","ExternalSite"
720217,"/multimedia/sites/welshgov-video","ExternalSite"
125847,"/multimedia/sites/tga","ExternalSite"
114342,"/multimedia/sites/bvlgermany","ExternalSite"
129498,"/multimedia/sites/129498","ExternalSite"
708474,"/multimedia/sites/extfsa/freportfs141002","ExternalSite"
616458,"/multimedia/sites/extfsa/fop-evaluation","ExternalSite"
104975,"/multimedia/sites/bseenforcementbulletin","ExternalSite"
104977,"/multimedia/sites/oieworldorgforanimalhealth","ExternalSite"
104979,"/multimedia/sites/ecfoodsafetyexecutive","ExternalSite"
104993,"/multimedia/sites/northirelandbsesite","ExternalSite"
630049,"/multimedia/sites/630049","ExternalSite"
629252,"/multimedia/sites/efsalead","ExternalSite"
640863,"/multimedia/sites/fco-boc","ExternalSite"
95523,"/multimedia/sites/apha","ExternalSite"
150030,"/multimedia/sites/150030","ExternalSite"
105956,"/multimedia/sites/adas","ExternalSite"
209681,"/multimedia/sites/rasff","ExternalSite"
643312,"/multimedia/sites/extfsa/activ8_video","ExternalSite"
705391,"/multimedia/sites/decision-eu882014","ExternalSite"
706710,"/multimedia/sites/extfsa/freportfs244011b","ExternalSite"
707269,"/multimedia/sites/extfsa/foodregs-2009","ExternalSite"
142423,"/multimedia/sites/vets","ExternalSite"
134290,"/multimedia/sites/escolarinfo","ExternalSite"
697146,"/multimedia/sites/archived-t10","ExternalSite"
697157,"/multimedia/sites/697157","ExternalSite"
713673,"/multimedia/sites/extfsa/freportfs241055","ExternalSite"
146732,"/multimedia/sites/imf_reg97_nireland","ExternalSite"
147029,"/multimedia/sites/bipmanual","ExternalSite"
411205,"/multimedia/sites/411205","ExternalSite"
657627,"/multimedia/sites/extfsa/freportfs421009","ExternalSite"
657630,"/multimedia/sites/ecoli.wales","ExternalSite"
158966,"/multimedia/sites/vrc","ExternalSite"
612299,"/multimedia/sites/extfsa/freportt07007","ExternalSite"
571597,"/multimedia/sites/eu669faq","ExternalSite"
571697,"/multimedia/sites/extfsa/eatingouthealthily","ExternalSite"
571701,"/multimedia/sites/extfsa/salt","ExternalSite"
718008,"/multimedia/sites/extfsa/freportfs231043ext","ExternalSite"
219601,"/multimedia/sites/219601","ExternalSite"
152498,"/multimedia/sites/fda_bioterrorism","ExternalSite"
110908,"/multimedia/sites/sacn","ExternalSite"
164210,"/multimedia/sites/164210","ExternalSite"
571761,"/multimedia/sites/vrcnewmembersadvert","ExternalSite"
133977,"/multimedia/sites/escolarimagelink","ExternalSite"
649204,"/multimedia/sites/scot-animal-slaughter","ExternalSite"
655559,"/multimedia/sites/efra-beef","ExternalSite"
642449,"/multimedia/sites/scot_gov_fop","ExternalSite"
696216,"/multimedia/sites/extfsa/freportfs424015","ExternalSite"
719665,"/multimedia/sites/extfsa/freportzm0105","ExternalSite"
131913,"/multimedia/sites/131913","ExternalSite"
642612,"/multimedia/sites/extfsa/tcells","ExternalSite"
645713,"/multimedia/sites/extfsa/645713","ExternalSite"
698040,"/multimedia/sites/shellfish-harvesting-ni","ExternalSite"
141290,"/multimedia/sites/live_animal_guidance","ExternalSite"
141297,"/multimedia/sites/cieh","ExternalSite"
141302,"/multimedia/sites/hmce","ExternalSite"
141575,"/multimedia/sites/mhra_gn8","ExternalSite"
141695,"/multimedia/sites/orgn_govtcontrols","ExternalSite"
141815,"/multimedia/sites/irrad_legislation1","ExternalSite"
141823,"/multimedia/sites/irrad_legislation4","ExternalSite"
701093,"/multimedia/sites/extfsa/rss-feed-podcasts","ExternalSite"
701103,"/multimedia/sites/extfsa/701103","ExternalSite"
143497,"/multimedia/sites/mapofeurope","ExternalSite"
142130,"/multimedia/sites/foodaware","ExternalSite"
142132,"/multimedia/sites/consumerfocusscotland","ExternalSite"
142168,"/multimedia/sites/lacors","ExternalSite"
191554,"/multimedia/sites/191554","ExternalSite"
719684,"/multimedia/sites/extfsa/freportfs235010","ExternalSite"
141373,"/multimedia/sites/poao_nireg03","ExternalSite"
141375,"/multimedia/sites/poao_nireg03_amend","ExternalSite"
141392,"/multimedia/sites/imf_reg97","ExternalSite"
141400,"/multimedia/sites/hmi_peach","ExternalSite"
141409,"/multimedia/sites/hmrc_imports","ExternalSite"
141411,"/multimedia/sites/rpa","ExternalSite"
141432,"/multimedia/sites/defra_organic","ExternalSite"
141447,"/multimedia/sites/kavakava_engreg02","ExternalSite"
141454,"/multimedia/sites/defra_planthealth","ExternalSite"
623106,"/multimedia/sites/extfsa/freportt07003","ExternalSite"
205367,"/multimedia/sites/mrc","ExternalSite"
644279,"/multimedia/sites/extfsa/freportfs245013","ExternalSite"
404384,"/multimedia/sites/tox0720","ExternalSite"
147888,"/multimedia/sites/allergyuk","ExternalSite"
147890,"/multimedia/sites/brdieteticass","ExternalSite"
147896,"/multimedia/sites/coeliacUK","ExternalSite"
148315,"/multimedia/sites/148315","ExternalSite"
702402,"/multimedia/sites/register-animal-feed","ExternalSite"
202614,"/multimedia/sites/202614","ExternalSite"
202616,"/multimedia/sites/202616","ExternalSite"
690957,"/multimedia/sites/690957","ExternalSite"
664065,"/multimedia/sites/extfsa/future-food-hygiene-conference","ExternalSite"
203678,"/multimedia/sites/publichealthwales","ExternalSite"
700167,"/multimedia/sites/700167","ExternalSite"
693755,"/multimedia/sites/headofmarketing","ExternalSite"
615888,"/multimedia/sites/efsapoultry","ExternalSite"
615947,"/multimedia/sites/britvicrecall","ExternalSite"
711001,"/multimedia/sites/jd-director-science","ExternalSite"
615995,"/multimedia/sites/breckland","ExternalSite"
206954,"/multimedia/sites/businesslinkorganic","ExternalSite"
616325,"/multimedia/sites/welshgov","ExternalSite"
616735,"/multimedia/sites/ec2006766ec","ExternalSite"
649652,"/multimedia/sites/649652","ExternalSite"
694726,"/multimedia/sites/694726","ExternalSite"
654409,"/multimedia/sites/extfsa/nutrition-publications","ExternalSite"
654431,"/multimedia/sites/extfsa/board-papers","ExternalSite"
654524,"/multimedia/sites/654524","ExternalSite"
654528,"/multimedia/sites/654528","ExternalSite"
654530,"/multimedia/sites/654530","ExternalSite"
654532,"/multimedia/sites/654532","ExternalSite"
